,Date,Open,High,Low,Close,Adj Close,Volume,SMA60,Deviation,Increase Rate,Kyousi
93,2001-05-23,14012.1904296875,14205.08984375,13990.3203125,14067.7001953125,14067.7001953125,0,13317.7111328125,1.0563151621942122,0,0
94,2001-05-24,13914.3203125,13941.4404296875,13801.4599609375,13895.7900390625,13895.7900390625,0,13328.540966796874,1.0425589772863149,0,0
95,2001-05-25,13869.5302734375,13958.349609375,13758.66015625,13765.919921875,13765.919921875,0,13337.953971354167,1.032086326841431,0,0
96,2001-05-28,13732.099609375,13820.419921875,13701.830078125,13737.76953125,13737.76953125,0,13349.252457682293,1.029104032214487,0,0
97,2001-05-29,13697.6103515625,13836.400390625,13697.6103515625,13773.8896484375,13773.8896484375,0,13364.091617838541,1.030664114128936,0,0
98,2001-05-30,13680.76953125,13680.76953125,13468.73046875,13493.349609375,13493.349609375,0,13377.619775390625,1.008651003386811,0,0
99,2001-05-31,13394.75,13419.9404296875,13216.5703125,13262.1396484375,13262.1396484375,0,13394.292106119792,0.9901336736099766,0,0
100,2001-06-01,13365.080078125,13394.400390625,13244.900390625,13261.83984375,13261.83984375,0,13409.953434244791,0.9889549511695875,0,0
101,2001-06-04,13294.2099609375,13312.349609375,13213.650390625,13312.349609375,13312.349609375,0,13420.363590494791,0.9919514862327355,0,0
102,2001-06-05,13232.51953125,13256.400390625,12984.0703125,13182.0,13182.0,0,13427.998763020832,0.9816801619241815,0,0
103,2001-06-06,13289.58984375,13313.1396484375,13127.6201171875,13174.83984375,13174.83984375,0,13436.736767578124,0.9805088892966882,0,0
104,2001-06-07,13122.580078125,13300.5,13050.169921875,13277.509765625,13277.509765625,0,13447.563590494792,0.98735430223286,0,0
105,2001-06-08,13324.25,13510.7001953125,13320.3701171875,13430.2197265625,13430.2197265625,0,13468.544417317707,0.9971545038893788,0,0
106,2001-06-11,13413.099609375,13447.3896484375,13224.990234375,13226.48046875,13226.48046875,0,13491.990755208333,0.9803208962060815,0,0
107,2001-06-12,13111.6396484375,13164.1904296875,12840.099609375,12840.099609375,12840.099609375,0,13508.599251302083,0.950513030293452,0,0
108,2001-06-13,12883.509765625,12970.1201171875,12803.419921875,12823.4501953125,12823.4501953125,0,13519.776253255208,0.9484957409872038,0,0
109,2001-06-14,12826.1796875,12935.0703125,12804.0302734375,12846.66015625,12846.66015625,0,13530.004248046875,0.9494941701961758,0,0
110,2001-06-15,12722.3798828125,12797.8701171875,12578.7802734375,12790.3798828125,12790.3798828125,0,13539.994417317708,0.944637013029603,0,0
111,2001-06-18,12766.3798828125,12787.23046875,12656.580078125,12697.7900390625,12697.7900390625,0,13533.225244140625,0.9382678415524165,0,0
112,2001-06-19,12734.1298828125,12912.919921875,12511.66015625,12574.259765625,12574.259765625,0,13528.563411458334,0.9294600899734067,1,0
113,2001-06-20,12575.349609375,12762.08984375,12512.1298828125,12674.6396484375,12674.6396484375,0,13519.565071614583,0.9375035055712648,1,1
114,2001-06-21,12776.759765625,13005.4599609375,12727.5498046875,12962.4296875,12962.4296875,0,13504.567073567709,0.9598552561430254,1,1
115,2001-06-22,13041.8896484375,13079.1103515625,12940.580078125,13044.6103515625,13044.6103515625,0,13494.671744791667,0.966648955844156,0,1
116,2001-06-25,13052.9599609375,13073.490234375,12823.4501953125,12896.4697265625,12896.4697265625,0,13480.187744140625,0.956698079532917,0,0
117,2001-06-26,12856.150390625,13026.7998046875,12837.7998046875,12978.8203125,12978.8203125,0,13478.628743489584,0.9629184510901377,0,0
118,2001-06-27,12936.51953125,12987.849609375,12828.98046875,12828.98046875,12828.98046875,0,13475.783414713542,0.9520025718684875,0,0
119,2001-06-28,12853.650390625,12876.5595703125,12567.259765625,12679.8798828125,12679.8798828125,0,13471.483740234375,0.9412385545136617,1,0
120,2001-06-29,12843.9501953125,12985.2099609375,12819.4599609375,12969.0498046875,12969.0498046875,0,13468.893408203125,0.9628890371044737,0,1
121,2001-07-02,12929.66015625,12929.66015625,12629.509765625,12751.1796875,12751.1796875,0,13460.700065104167,0.9472894890925069,0,0
122,2001-07-03,12855.5,12922.150390625,12747.0498046875,12817.41015625,12817.41015625,0,13451.300569661458,0.9528751580467129,0,0
123,2001-07-04,12801.4599609375,12801.4599609375,12584.990234375,12629.01953125,12629.01953125,0,13438.721565755208,0.939748581697793,0,0
124,2001-07-05,12563.4404296875,12676.830078125,12515.509765625,12607.2998046875,12607.2998046875,0,13434.813899739584,0.9384052431818111,0,0
125,2001-07-06,12499.2998046875,12499.2998046875,12289.6103515625,12306.080078125,12306.080078125,0,13429.577408854168,0.9163415722978415,0,0
126,2001-07-09,12191.3095703125,12239.6796875,12029.2001953125,12239.6796875,12239.6796875,0,13413.989908854166,0.9124563064879719,0,0
127,2001-07-10,12247.9404296875,12382.2900390625,12143.9404296875,12300.41015625,12300.41015625,0,13396.456070963543,0.9181838906567841,0,0
128,2001-07-11,12178.25,12178.25,12005.1103515625,12005.1103515625,12005.1103515625,0,13373.445914713542,0.8976826487445848,1,0
129,2001-07-12,12133.0498046875,12407.9501953125,12133.0498046875,12407.9501953125,12407.9501953125,0,13359.330257161459,0.9287853475035578,0,1
130,2001-07-13,12417.5595703125,12444.5595703125,12294.0400390625,12355.150390625,12355.150390625,0,13347.464599609375,0.9256552282586,0,0
131,2001-07-16,12408.3896484375,12408.3896484375,12263.4501953125,12343.3701171875,12343.3701171875,0,13325.824267578126,0.9262744179524454,0,0
132,2001-07-17,12215.4697265625,12224.7099609375,12102.9404296875,12128.5703125,12128.5703125,0,13296.8291015625,0.912140046311852,0,0
133,2001-07-18,12121.41015625,12135.3095703125,11847.73046875,11892.580078125,11892.580078125,0,13265.6109375,0.8964969750851326,0,0
134,2001-07-19,11898.1103515625,11980.25,11863.1201171875,11908.3896484375,11908.3896484375,0,13235.490771484376,0.8997316271863457,0,0
135,2001-07-23,11902.23046875,11902.23046875,11531.6796875,11609.6298828125,11609.6298828125,0,13199.931608072917,0.8795219723496288,1,0
